space_id,x,y,width,height,prediction,confidence
1,139,165,23,40,empty,0.9986668138202189
2,155,165,22,42,empty,0.9741134008910588
3,172,165,21,42,empty,0.9825690375723107
4,188,164,23,42,empty,0.8098064523794374
5,204,166,21,40,occupied,0.6384881503076393
6,231,164,21,41,occupied,0.6528382983842004
7,250,166,17,38,occupied,0.562400703122605
8,267,166,16,41,empty,0.8421362360619545
9,283,164,17,41,empty,0.9558830288303579
10,299,166,18,39,occupied,0.9717693727976868
11,316,166,16,34,empty,0.8572661767295872
12,333,165,17,36,occupied,0.6413138153959805
13,351,164,16,34,empty,0.930630018619647
14,368,162,18,38,occupied,0.8230042265818469
15,388,162,16,38,empty,0.9720725495873751
16,403,163,17,34,occupied,0.9933374010966609
17,422,163,17,34,occupied,0.7128106488566883
18,440,162,17,33,empty,0.9783855854518567
19,458,162,19,35,empty,0.9883761248870714
20,478,158,18,40,empty,0.8867900685473625
21,494,160,20,34,occupied,0.9788786212334234
22,511,156,23,40,occupied,0.9732212347591489
23,113,238,27,38,empty,0.997376164317657
24,130,236,26,40,empty,0.8210993871077534
25,148,237,24,41,empty,0.9470334808745555
26,167,238,25,37,empty,0.9753046358302498
27,188,239,23,39,occupied,0.6730974101610677
28,213,239,22,36,occupied,0.9042169885486848
29,229,238,22,39,empty,0.9644116876814023
30,251,235,21,37,occupied,0.8200593669867118
31,268,236,21,36,empty,0.8410186596819477
32,287,234,22,40,empty,0.9810876269686561
33,307,234,20,39,empty,0.9310084661687428
34,324,235,20,38,occupied,0.9782846665921126
35,345,231,19,43,empty,0.9747388283170949
36,364,235,19,38,empty,0.8893311444708617
37,382,231,22,41,empty,0.8980008276905039
38,404,226,19,46,empty,0.7901531584856201
39,425,229,20,47,empty,0.9899028408276035
40,443,226,23,47,occupied,0.6422750022624912
41,464,228,20,44,empty,0.5619840510514714
42,483,227,24,48,occupied,0.7971246952766873
43,505,227,21,45,occupied,0.7921317056450815
44,525,229,23,42,occupied,0.9162675967963307
45,101,270,23,50,empty,0.9965426936318649
46,117,271,28,51,empty,0.9723457306035502
47,136,267,25,53,occupied,0.7103708792779899
48,154,274,26,50,occupied,0.6547815238982085
49,174,272,23,51,occupied,0.9047537959620321
50,205,273,19,54,occupied,0.891223690289108
51,222,272,27,53,occupied,0.8897791472567563
52,241,275,24,50,occupied,0.894653464018148
53,262,270,24,53,occupied,0.939678006819553
54,282,276,19,48,occupied,0.8061505521454453
55,303,276,21,48,occupied,0.5917725355425949
56,322,277,21,45,occupied,0.9802372365945052
57,345,275,17,45,occupied,0.9342489624682813
58,363,276,20,45,occupied,0.9280564481917107
59,384,276,18,46,occupied,0.9652031736533118
60,404,274,20,46,empty,0.6561143420254973
61,426,276,20,45,occupied,0.9955011910495918
62,444,277,23,42,empty,0.5022567400396574
63,467,275,21,47,occupied,0.5092925335372739
64,486,273,25,47,occupied,0.7998825035664033
65,509,276,22,43,occupied,0.9777470683506211
66,530,270,27,48,occupied,0.8139017487624244
67,64,367,29,53,empty,0.5381749357467487
68,83,371,29,50,occupied,0.6772968643891274
69,106,371,28,50,empty,0.8003791729623316
70,127,370,26,50,occupied,0.7828437155635454
71,148,374,27,48,occupied,0.9444341571800638
72,181,373,25,45,occupied,0.9608238415097764
73,203,370,26,50,occupied,0.7478581942009666
74,223,370,31,54,occupied,0.5303934094779508
75,246,372,26,50,occupied,0.5365018094949462
76,268,373,26,51,occupied,0.9641162011703915
77,290,372,23,51,occupied,0.5054077611059953
78,312,372,23,56,occupied,0.9856397492492912
79,335,373,24,50,empty,0.9115727127368707
80,359,371,23,55,occupied,0.9070204984805713
81,382,371,23,52,occupied,0.7402984169448177
82,405,374,23,52,empty,0.9475089810121997
83,428,375,26,53,occupied,0.948787257732512
84,452,374,27,52,occupied,0.8172824993600016
85,476,372,26,57,occupied,0.8951655380873305
86,499,373,28,58,occupied,0.5820292052533734
87,523,371,26,57,occupied,0.9337575528496893
88,545,370,31,56,occupied,0.9796797204736742
89,21,446,34,48,occupied,0.7806066571843389
90,43,445,35,54,empty,0.8763522011092701
91,71,446,35,55,occupied,0.8987939104466924
92,94,445,38,57,occupied,0.912991982360435
93,123,442,34,59,empty,0.946224763807637
94,148,444,34,56,empty,0.9972887733854249
95,175,445,33,50,empty,0.9901048611550125
96,204,448,33,50,empty,0.9976636890311289
97,231,451,33,53,empty,0.9964057731927062
98,259,448,31,52,empty,0.9929176738893963
99,288,449,26,55,occupied,0.8515516817868078
100,312,451,29,56,occupied,0.9978504077536471
